GENESIS-Tabelle: 31231-0003;;;;;;;;;;;;;;;;
Wohngebäude, Wohnungen, Wohnfläche: Bundesländer, Stichtag,;;;;;;;;;;;;;;;;
Anzahl der Wohnungen;;;;;;;;;;;;;;;;
Fortschreibung Wohngebäude- und Wohnungsbestand;;;;;;;;;;;;;;;;
;;Anzahl der Wohnungen in Wohngebäuden;Anzahl der Wohnungen in Wohngebäuden;Anzahl der Wohnungen in Wohngebäuden;Anzahl der Wohnungen in Wohngebäuden;Anzahl der Wohnungen in Wohngebäuden;Anzahl der Wohnungen in Wohngebäuden;Anzahl der Wohnungen in Wohngebäuden;Anzahl der Wohnungen in Wohngebäuden;Anzahl der Wohnungen in Wohngebäuden;Anzahl der Wohnungen in Wohngebäuden;Anzahl der Wohnungen in Wohngebäuden;Anzahl der Wohnungen in Wohngebäuden;Anzahl der Wohnungen in Wohngebäuden;Anzahl der Wohnungen in Wohngebäuden;Anzahl der Wohnungen in Wohngebäuden
;;1 Wohnung;1 Wohnung;1 Wohnung;2 Wohnungen;2 Wohnungen;2 Wohnungen;3 und mehr Wohnungen;3 und mehr Wohnungen;3 und mehr Wohnungen;Wohnheime;Wohnheime;Wohnheime;Insgesamt;Insgesamt;Insgesamt
;;Wohngebäude;Wohnungen;Wohnfläche;Wohngebäude;Wohnungen;Wohnfläche;Wohngebäude;Wohnungen;Wohnfläche;Wohngebäude;Wohnungen;Wohnfläche;Wohngebäude;Wohnungen;Wohnfläche
Stichtag;Bundesland;Anzahl;Anzahl;1000 qm;Anzahl;Anzahl;1000 qm;Anzahl;Anzahl;1000 qm;Anzahl;Anzahl;1000 qm;Anzahl;Anzahl;1000 qm
31.12.2003;Sachsen-Anhalt;363234;363234;37220;87120;174240;13334;105749;760474;45047;-;-;-;556103;1297948;95600
31.12.2003;Schleswig-Holstein;532723;532723;59858;92479;184958;16017;84863;602543;38161;-;-;-;710065;1320224;114036
31.12.2003;Thüringen;304520;304520;32295;113260;226520;17356;89008;619632;37486;-;-;-;506788;1150672;87137
31.12.2003;Insgesamt;10779406;10779406;1287450;3487318;6974636;615890;3026954;20615923;1368628;-;-;-;17293678;38369965;3271962
31.12.2004;Baden-Württemberg;1295585;1295585;160456;552095;1104190;101436;395524;2330621;169043;-;-;-;2243204;4730396;430935
31.12.2004;Bayern;1849669;1849669;235704;588387;1176774;108942;369727;2636257;177661;-;-;-;2807783;5662700;522306
31.12.2004;Berlin;141798;141798;15565;21280;42560;3753;142152;1677590;110692;-;-;-;305230;1861948;130010
31.12.2004;Brandenburg;418134;418134;43294;79950;159900;12482;89801;669219;39941;-;-;-;587885;1247253;95717
31.12.2004;Bremen;77380;77380;8294;20561;41122;3301;33608;229152;14863;-;-;-;131549;347654;26459
31.12.2004;Hamburg;128081;128081;13887;26264;52528;4377;77015;682254;43454;-;-;-;231360;862863;61718
31.12.2004;Hessen;755220;755220;95846;320941;641882;59674;210891;1353085;94652;-;-;-;1287052;2750187;250172
31.12.2004;Mecklenburg-Vorpommern;244084;244084;25055;45022;90044;6881;67855;526881;30396;-;-;-;356961;861009;62332
31.12.2004;Niedersachsen;1404384;1404384;173814;368809;737618;68086;240332;1472975;100672;-;-;-;2013525;3614977;342571
31.12.2004;Nordrhein-Westfalen;2050216;2050216;247988;731629;1463258;126975;773387;4720681;318579;-;-;-;3555232;8234155;693542
31.12.2004;Rheinland-Pfalz;747251;747251;92310;223369;446738;41098;116120;655671;47262;-;-;-;1086740;1849660;180671
31.12.2004;Saarland;184251;184251;22943;81209;162418;14548;28448;150409;10704;-;-;-;293908;497078;48196
31.12.2004;Sachsen;401777;401777;40355;157296;314592;22857;212227;1578884;95212;-;-;-;771300;2295253;158424
31.12.2004;Sachsen-Anhalt;367122;367122;37731;87394;174788;13387;104830;748838;44421;-;-;-;559346;1290748;95539
31.12.2004;Schleswig-Holstein;539731;539731;60785;93110;186220;16150;85200;605032;38377;-;-;-;718041;1330983;115312
31.12.2004;Thüringen;307205;307205;32675;113639;227278;17435;88710;615196;37266;-;-;-;509554;1149679;87375
31.12.2004;Insgesamt;10911888;10911888;1306703;3510955;7021910;621382;3035827;20652745;1373193;-;-;-;17458670;38586543;3301278
31.12.2005;Baden-Württemberg;1309101;1309101;162616;554915;1109830;102148;397567;2342838;170181;-;-;-;2261583;4761769;434944
31.12.2005;Bayern;1868279;1868279;238620;593097;1186194;110058;372308;2653257;179059;-;-;-;2833684;5707730;527736
31.12.2005;Berlin;143732;143732;15822;21406;42812;3779;142239;1678738;110856;-;-;-;307377;1865282;130457
31.12.2005;Brandenburg;425575;425575;44237;80534;161068;12600;89413;664056;39690;-;-;-;595522;1250699;96526
