GENESIS-Tabelle: 44151-0001;;;;;;;
Besch‰ftigte, Umsatz im Bauhauptgewerbe (Messzahlen und;;;;;;;
Ver‰nderungsraten): Deutschland, Monate, Wirtschaftszweige;;;;;;;
Konjunkturstatistik im Bauhauptgewerbe;;;;;;;
Deutschland;;;;;;;
;;;;Besch‰ftigte;Ver‰nderung zum Vorjahresmon.;Umsatz;Ver‰nderung zum Vorjahres
Key Wirtschaftszweig;Wirtschaftszweig;Jahr;Monat;2010=100;in (%);2010=100;in (%)
WZ08-412;Bau von Geb‰uden;2016;Januar;96,9;0,5;68,6;-6,4
WZ08-412;Bau von Geb‰uden;2016;Februar;98,1;1,6;93,5;11,2
WZ08-412;Bau von Geb‰uden;2016;M‰rz;99,8;1;114,5;1,7
WZ08-412;Bau von Geb‰uden;2016;April;101,4;0,9;126,3;7,8
WZ08-412;Bau von Geb‰uden;2016;Mai;102,3;1,4;129,8;10,8
WZ08-412;Bau von Geb‰uden;2016;Juni;103,1;1,2;145,1;7,9
WZ08-412;Bau von Geb‰uden;2016;Juli;103,5;1,3;140,2;-4,7
WZ08-412;Bau von Geb‰uden;2016;August;104,6;1,6;141,1;10,2
WZ08-412;Bau von Geb‰uden;2016;September;105,5;1,7;148,6;7,8
WZ08-412;Bau von Geb‰uden;2016;Oktober;105,1;1,8;143,6;-1,4
WZ08-412;Bau von Geb‰uden;2016;November;104,7;2;152,9;3,6
WZ08-412;Bau von Geb‰uden;2016;Dezember;101,3;2;174,2;13
WZ08-412;Bau von Geb‰uden;2017;Januar;99,4;2,6;70,5;2,8
WZ08-412;Bau von Geb‰uden;2017;Februar;100,5;2,4;93,6;0,1
WZ08-412;Bau von Geb‰uden;2017;M‰rz;103,3;3,5;131,2;14,6
WZ08-412;Bau von Geb‰uden;2017;April;104,4;3;128,2;1,5
WZ08-412;Bau von Geb‰uden;2017;Mai;105,2;2,8;148;14
WZ08-412;Bau von Geb‰uden;2017;Juni;106;2,8;149,9;3,3
WZ08-412;Bau von Geb‰uden;2017;Juli;106,3;2,7;156,6;11,7
WZ08-412;Bau von Geb‰uden;2017;August;107;2,3;150;6,3
WZ08-412;Bau von Geb‰uden;2017;September;107,5;1,9;152,4;2,6
WZ08-412;Bau von Geb‰uden;2017;Oktober;106,8;1,6;151,1;5,2
WZ08-412;Bau von Geb‰uden;2017;November;106,3;1,5;168,7;10,3
WZ08-412;Bau von Geb‰uden;2017;Dezember;103;1,7;170,4;-2,2
WZ08-412;Bau von Geb‰uden;2018;Januar;101,8;2,4;88,5;25,5
WZ08-412;Bau von Geb‰uden;2018;Februar;102,1;1,6;100,5;7,4
WZ08-412;Bau von Geb‰uden;2018;M‰rz;103,8;0,5;119,3;-9,1
WZ08-412;Bau von Geb‰uden;2018;April;105,4;1;135,4;5,6
WZ08-412;Bau von Geb‰uden;2018;Mai;106,2;1;146,7;-0,9
WZ08-412;Bau von Geb‰uden;2018;Juni;106,8;0,8;157,9;5,3
WZ08-412;Bau von Geb‰uden;2018;Juli;107,3;0,9;165,7;5,8
WZ08-412;Bau von Geb‰uden;2018;August;108;0,9;156,1;4,1
WZ08-412;Bau von Geb‰uden;2018;September;...;...;...;...
WZ08-412;Bau von Geb‰uden;2018;Oktober;...;...;...;...
WZ08-412;Bau von Geb‰uden;2018;November;...;...;...;...
WZ08-412;Bau von Geb‰uden;2018;Dezember;...;...;...;...
WZ08-42;Tiefbau;2010;Januar;94,3;.;38,5;.
WZ08-42;Tiefbau;2010;Februar;93,6;.;38,5;.
WZ08-42;Tiefbau;2010;M‰rz;96,3;.;68,5;.
WZ08-42;Tiefbau;2010;April;99,9;.;90,4;.
WZ08-42;Tiefbau;2010;Mai;100,8;.;98,6;.
WZ08-42;Tiefbau;2010;Juni;101,5;.;116,1;.
WZ08-42;Tiefbau;2010;Juli;101,7;.;120,9;.
WZ08-42;Tiefbau;2010;August;102,8;.;116,6;.
WZ08-42;Tiefbau;2010;September;103,4;.;124,8;.
WZ08-42;Tiefbau;2010;Oktober;103,2;.;130,4;.
WZ08-42;Tiefbau;2010;November;102,9;.;136,2;.
WZ08-42;Tiefbau;2010;Dezember;99,4;.;120,4;.
WZ08-42;Tiefbau;2011;Januar;95,3;1,1;44,7;16,1
WZ08-42;Tiefbau;2011;Februar;95,4;1,9;54,8;42,3
WZ08-42;Tiefbau;2011;M‰rz;98,8;2,6;87,7;28
WZ08-42;Tiefbau;2011;April;100,8;0,9;96,5;6,7
WZ08-42;Tiefbau;2011;Mai;101,6;0,8;122,3;24
WZ08-42;Tiefbau;2011;Juni;101,9;0,4;115,3;-0,7
WZ08-42;Tiefbau;2011;Juli;102,2;0,5;121,8;0,7
WZ08-42;Tiefbau;2011;August;103,7;0,9;123,7;6,1
WZ08-42;Tiefbau;2011;September;103,8;0,4;130,9;4,9
WZ08-42;Tiefbau;2011;Oktober;103,7;0,5;130,8;0,3
WZ08-42;Tiefbau;2011;November;103,3;0,4;145,1;6,5
WZ08-42;Tiefbau;2011;Dezember;100,4;1;141,8;17,8
WZ08-42;Tiefbau;2012;Januar;96,3;1;53,4;19,5
WZ08-42;Tiefbau;2012;Februar;95,8;0,4;49,2;-10,2
WZ08-42;Tiefbau;2012;M‰rz;98,5;-0,3;77,5;-11,6
WZ08-42;Tiefbau;2012;April;100,5;-0,3;91,9;-4,8
WZ08-42;Tiefbau;2012;Mai;101,2;-0,4;108,7;-11,1
WZ08-42;Tiefbau;2012;Juni;101,7;-0,2;118;2,3
WZ08-42;Tiefbau;2012;Juli;101,9;-0,3;124,1;1,9
WZ08-42;Tiefbau;2012;August;103;-0,7;125,5;1,5
WZ08-42;Tiefbau;2012;September;103,2;-0,6;124,1;-5,2
WZ08-42;Tiefbau;2012;Oktober;103,2;-0,5;132,9;1,6
WZ08-42;Tiefbau;2012;November;102,7;-0,6;136,7;-5,8
WZ08-42;Tiefbau;2012;Dezember;99,8;-0,6;118,1;-16,7
WZ08-42;Tiefbau;2013;Januar;96,6;0,3;46,3;-13,3
WZ08-42;Tiefbau;2013;Februar;96,2;0,4;46,7;-5,1
WZ08-42;Tiefbau;2013;M‰rz;97,7;-0,8;62,2;-19,7
WZ08-42;Tiefbau;2013;April;100,5;-;89;-3,2
WZ08-42;Tiefbau;2013;Mai;101,3;0,1;100,3;-7,7
WZ08-42;Tiefbau;2013;Juni;101,8;0,1;115,1;-2,5
WZ08-42;Tiefbau;2013;Juli;102,4;0,5;130,8;5,4
WZ08-42;Tiefbau;2013;August;103,3;0,3;122,8;-2,2
WZ08-42;Tiefbau;2013;September;103,6;0,4;126,4;1,9
WZ08-42;Tiefbau;2013;Oktober;103,3;0,1;135,8;2,2
WZ08-42;Tiefbau;2013;November;102,6;-0,1;137,7;0,7
WZ08-42;Tiefbau;2013;Dezember;99,4;-0,4;135,5;14,7
WZ08-42;Tiefbau;2014;Januar;96,1;-0,5;53,4;15,3
WZ08-42;Tiefbau;2014;Februar;95,9;-0,3;60,1;28,7
WZ08-42;Tiefbau;2014;M‰rz;98,6;0,9;86,1;38,4
WZ08-42;Tiefbau;2014;April;100,1;-0,4;101,7;14,3
WZ08-42;Tiefbau;2014;Mai;100,6;-0,7;109,5;9,2
WZ08-42;Tiefbau;2014;Juni;101,3;-0,5;114,1;-0,9
WZ08-42;Tiefbau;2014;Juli;101,7;-0,7;130,2;-0,5
WZ08-42;Tiefbau;2014;August;102,4;-0,9;118,1;-3,8
WZ08-42;Tiefbau;2014;September;103,1;-0,5;131,1;3,7
WZ08-42;Tiefbau;2014;Oktober;103,1;-0,2;138,9;2,3
WZ08-42;Tiefbau;2014;November;102,5;-0,1;141,5;2,8
WZ08-42;Tiefbau;2014;Dezember;99,5;0,1;139,6;3
WZ08-42;Tiefbau;2015;Januar;96,6;0,5;56,2;5,2
WZ08-42;Tiefbau;2015;Februar;96,3;0,4;59,3;-1,3
WZ08-42;Tiefbau;2015;M‰rz;98,8;0,2;90,1;4,6
WZ08-42;Tiefbau;2015;April;100,8;0,7;102,6;0,9
WZ08-42;Tiefbau;2015;Mai;101,3;0,7;108,4;-1
WZ08-42;Tiefbau;2015;Juni;101,9;0,6;128,1;12,3
WZ08-42;Tiefbau;2015;Juli;102,3;0,6;140,9;8,2
WZ08-42;Tiefbau;2015;August;103;0,6;127,1;7,6
WZ08-42;Tiefbau;2015;September;103,5;0,4;139,9;6,7
WZ08-42;Tiefbau;2015;Oktober;103,5;0,4;144,9;4,3
WZ08-42;Tiefbau;2015;November;102,5;-;150,7;6,5
WZ08-42;Tiefbau;2015;Dezember;100,4;0,9;159,9;14,5
WZ08-42;Tiefbau;2016;Januar;97,3;0,7;54,2;-3,6
WZ08-42;Tiefbau;2016;Februar;97,6;1,3;66,3;11,8
WZ08-42;Tiefbau;2016;M‰rz;99,7;0,9;92,9;3,1
WZ08-42;Tiefbau;2016;April;101,5;0,7;112,6;9,7
WZ08-42;Tiefbau;2016;Mai;102;0,7;121,2;11,8
WZ08-42;Tiefbau;2016;Juni;102,6;0,7;140,4;9,6
WZ08-42;Tiefbau;2016;Juli;102,9;0,6;141,9;0,7
WZ08-42;Tiefbau;2016;August;104,1;1,1;143,8;13,1
WZ08-42;Tiefbau;2016;September;104,8;1,3;152,7;9,1
WZ08-42;Tiefbau;2016;Oktober;104,8;1,3;149,5;3,2
WZ08-42;Tiefbau;2016;November;104,6;2;164,5;9,2
WZ08-42;Tiefbau;2016;Dezember;102,2;1,8;174,3;9
WZ08-42;Tiefbau;2017;Januar;99,8;2,6;62,1;14,6
WZ08-42;Tiefbau;2017;Februar;99,8;2,3;68,7;3,6
WZ08-42;Tiefbau;2017;M‰rz;102,8;3,1;109,7;18,1
WZ08-42;Tiefbau;2017;April;104,5;3;115,6;2,7
WZ08-42;Tiefbau;2017;Mai;105,2;3,1;137,3;13,3
WZ08-42;Tiefbau;2017;Juni;105,7;3;147,2;4,8
WZ08-42;Tiefbau;2017;Juli;106,1;3,1;150;5,7
WZ08-42;Tiefbau;2017;August;107,4;3,2;153,5;6,7
WZ08-42;Tiefbau;2017;September;108;3,1;152,3;-0,3
WZ08-42;Tiefbau;2017;Oktober;108,3;3,3;152,9;2,3
WZ08-42;Tiefbau;2017;November;108,2;3,4;174,6;6,1
WZ08-42;Tiefbau;2017;Dezember;105,8;3,5;170,7;-2,1
WZ08-42;Tiefbau;2018;Januar;104;4,2;69,2;11,4
WZ08-42;Tiefbau;2018;Februar;103,8;4;76,7;11,6
WZ08-42;Tiefbau;2018;M‰rz;106,2;3,3;103,2;-5,9
WZ08-42;Tiefbau;2018;April;108,4;3,7;131,5;13,8
WZ08-42;Tiefbau;2018;Mai;108,9;3,5;146,7;6,8
WZ08-42;Tiefbau;2018;Juni;109,6;3,7;165,3;12,3
WZ08-42;Tiefbau;2018;Juli;110,5;4,1;175;16,7
WZ08-42;Tiefbau;2018;August;111,6;3,9;172,8;12,6
WZ08-42;Tiefbau;2018;September;...;...;...;...
WZ08-42;Tiefbau;2018;Oktober;...;...;...;...
WZ08-42;Tiefbau;2018;November;...;...;...;...
WZ08-42;Tiefbau;2018;Dezember;...;...;...;...
WZ08-421;Bau von Straﬂen und Bahnverkehrsstrecken;2010;Januar;94,3;.;35,9;.
